Patroling Sections:
[55.704741, -385.186179,0] -> [402.114902514, -185.186179,0] -> 
[55.704741, -485.186179,0] -> [488.717442892, -235.186179,0] -> 
[55.704741, -585.186179,0] -> [575.319983271, -285.186179,0] -> 
[55.704741, -685.186179,0] -> [661.922523649, -335.186179,0] -> 
[55.704741, -785.186179,0] -> [748.525064028, -385.186179,0] -> 
[55.704741, -885.186179,0] -> [835.127604406, -435.186179,0] -> 
[55.704741, -985.186179,0] -> [921.730144784, -485.186179,0] -> 
[921.730144784, -485.186179,0] -> [55.704741, -985.186179,0] -> 
[835.127604406, -435.186179,0] -> [55.704741, -885.186179,0] -> 
[748.525064028, -385.186179,0] -> [55.704741, -785.186179,0] -> 
[661.922523649, -335.186179,0] -> [55.704741, -685.186179,0] -> 
[575.319983271, -285.186179,0] -> [55.704741, -585.186179,0] -> 
[488.717442892, -235.186179,0] -> [55.704741, -485.186179,0] -> 
[402.114902514, -185.186179,0] -> [55.704741, -385.186179,0] -> 
 End 

0: 402.114902514, -185.186179, 0 {210, 0} -> 55.704741, -385.186179, 0
46: 357.350049392157, -211.031179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
47: 357.350049392157, -211.031179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
48: 359.874513444189, -209.573679000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
49: 359.874513444189, -209.573679000001, 0.000000000000 {352.874451000000, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
50: 359.874513444189, -209.573679000001, 0.000000000000 {30.000000000000, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
51: 359.874513444189, -209.573679000001, 0.000000000000 {67.125549000000, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
52: 359.874513444189, -209.573679000001, 0.000000000000 {104.251098000000, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
53: 359.874513444189, -209.573679000001, 0.000000000000 {141.376647000000, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
54: 359.874513444189, -209.573679000001, 0.000000000000 {178.502196000000, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
55: 359.874513444189, -209.573679000001, 0.000000000000 {215.627745000000, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
56: 357.714390345451, -211.530996858271, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
