Patroling Sections:
[-290.705420514, -185.186179,0] -> [55.704741, -385.186179,0] -> 
[-377.307960892, -235.186179,0] -> [55.704741, -485.186179,0] -> 
[-463.910501271, -285.186179,0] -> [55.704741, -585.186179,0] -> 
[-550.513041649, -335.186179,0] -> [55.704741, -685.186179,0] -> 
[-637.115582028, -385.186179,0] -> [55.704741, -785.186179,0] -> 
[-723.718122406, -435.186179,0] -> [55.704741, -885.186179,0] -> 
[-810.320662784, -485.186179,0] -> [55.704741, -985.186179,0] -> 
[55.704741, -985.186179,0] -> [-810.320662784, -485.186179,0] -> 
[55.704741, -885.186179,0] -> [-723.718122406, -435.186179,0] -> 
[55.704741, -785.186179,0] -> [-637.115582028, -385.186179,0] -> 
[55.704741, -685.186179,0] -> [-550.513041649, -335.186179,0] -> 
[55.704741, -585.186179,0] -> [-463.910501271, -285.186179,0] -> 
[55.704741, -485.186179,0] -> [-377.307960892, -235.186179,0] -> 
[55.704741, -385.186179,0] -> [-290.705420514, -185.186179,0] -> 
 End 

0: 55.704741, -385.186179, 0 {150, 0} -> -290.705420514, -185.186179, 0
11: -88.687674572981, -301.821179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
12: -103.609292280186, -293.206179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
13: -118.530909987392, -284.591179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
14: -133.452527694598, -275.976179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
15: -148.374145401804, -267.361179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
16: -163.295763109010, -258.746179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
17: -178.217380816216, -250.131179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
18: -193.138998523422, -241.516179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
19: -208.060616230627, -232.901179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
20: -222.982233937833, -224.286179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
