Patroling Sections:
[-290.705420514, 214.813821,0] -> [-290.705420514, -185.186179,0] -> 
[-377.307960892, 264.813821,0] -> [-377.307960892, -235.186179,0] -> 
[-463.910501271, 314.813821,0] -> [-463.910501271, -285.186179,0] -> 
[-550.513041649, 364.813821,0] -> [-550.513041649, -335.186179,0] -> 
[-637.115582028, 414.813821,0] -> [-637.115582028, -385.186179,0] -> 
[-723.718122406, 464.813821,0] -> [-723.718122406, -435.186179,0] -> 
[-810.320662784, 514.813821,0] -> [-810.320662784, -485.186179,0] -> 
[-810.320662784, -485.186179,0] -> [-810.320662784, 514.813821,0] -> 
[-723.718122406, -435.186179,0] -> [-723.718122406, 464.813821,0] -> 
[-637.115582028, -385.186179,0] -> [-637.115582028, 414.813821,0] -> 
[-550.513041649, -335.186179,0] -> [-550.513041649, 364.813821,0] -> 
[-463.910501271, -285.186179,0] -> [-463.910501271, 314.813821,0] -> 
[-377.307960892, -235.186179,0] -> [-377.307960892, 264.813821,0] -> 
[-290.705420514, -185.186179,0] -> [-290.705420514, 214.813821,0] -> 
 End 

0: -290.705420514, -185.186179, 0 {90, 0} -> -290.705420514, 214.813821, 0
19: -290.705420513777, 119.383821000001, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
20: -290.705420513777, 136.613821000001, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
21: -290.705420513777, 153.843821000001, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
22: -290.705420513777, 171.073821000001, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
23: -290.705420513777, 171.073821000001, 0.000000000000 {127.125549000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
24: -290.705420513777, 171.073821000001, 0.000000000000 {164.251098000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
25: -290.705420513777, 171.073821000001, 0.000000000000 {201.376647000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
26: -290.705420513777, 171.073821000001, 0.000000000000 {238.502196000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
27: -290.705420513777, 168.158821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
28: -290.705420513777, 159.413821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
29: -290.705420513777, 142.183821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
30: -290.705420513777, 124.953821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
31: -290.705420513777, 107.723821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
32: -290.705420513777, 90.493821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
33: -290.705420513777, 73.263821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
34: -290.705420513777, 56.033821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
35: -290.705420513777, 38.803821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
36: -290.705420513777, 21.573821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
37: -290.705420513777, 4.343821000001, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
38: -290.705420513777, -12.886178999999, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
39: -290.705420513777, -30.116178999999, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
40: -290.705420513777, -47.346178999999, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
41: -290.705420513776, -64.576178999999, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
42: -290.705420513776, -81.806178999999, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
43: -290.705420513776, -99.036178999999, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
44: -290.705420513776, -116.266178999999, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
45: -290.705420513776, -133.496178999999, 0.000000000000 {270.000000000000, 270.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
