Patroling Sections:
[55.704741, -385.186179,0] -> [455.704741, 14.813821,0] -> 
[55.704741, -485.186179,0] -> [555.704741, 14.813821,0] -> 
[55.704741, -585.186179,0] -> [655.704741, 14.813821,0] -> 
[55.704741, -685.186179,0] -> [755.704741, 14.813821,0] -> 
[55.704741, -785.186179,0] -> [855.704741, 14.813821,0] -> 
[55.704741, -885.186179,0] -> [955.704741, 14.813821,0] -> 
[55.704741, -985.186179,0] -> [1055.704741, 14.813821,0] -> 
[1055.704741, 14.813821,0] -> [55.704741, -985.186179,0] -> 
[955.704741, 14.813821,0] -> [55.704741, -885.186179,0] -> 
[855.704741, 14.813821,0] -> [55.704741, -785.186179,0] -> 
[755.704741, 14.813821,0] -> [55.704741, -685.186179,0] -> 
[655.704741, 14.813821,0] -> [55.704741, -585.186179,0] -> 
[555.704741, 14.813821,0] -> [55.704741, -485.186179,0] -> 
[455.704741, 14.813821,0] -> [55.704741, -385.186179,0] -> 
 End 

0: 455.704741, 14.813821, 0 {225, 0} -> 55.704741, -385.186179, 0
34: 125.471732050258, -315.419187949740, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
35: 115.409602553974, -325.481317446025, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
36: 105.347473057689, -335.543446942309, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
37: 95.285343561404, -345.605576438594, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
38: 85.223214065120, -355.667705934879, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
39: 85.223214065120, -355.667705934879, 0.000000000000 {258.125549000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
40: 85.223214065120, -355.667705934879, 0.000000000000 {291.251098000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
41: 85.223214065120, -355.667705934879, 0.000000000000 {324.376647000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
42: 85.223214065120, -355.667705934879, 0.000000000000 {357.502196000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
43: 85.223214065120, -355.667705934879, 0.000000000000 {30.627745000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
