Patroling Sections:
[-344.295259, 14.813821,0] -> [55.704741, -385.186179,0] -> 
[-444.295259, 14.813821,0] -> [55.704741, -485.186179,0] -> 
[-544.295259, 14.813821,0] -> [55.704741, -585.186179,0] -> 
[-644.295259, 14.813821,0] -> [55.704741, -685.186179,0] -> 
[-744.295259, 14.813821,0] -> [55.704741, -785.186179,0] -> 
[-844.295259, 14.813821,0] -> [55.704741, -885.186179,0] -> 
[-944.295259, 14.813821,0] -> [55.704741, -985.186179,0] -> 
[55.704741, -985.186179,0] -> [-944.295259, 14.813821,0] -> 
[55.704741, -885.186179,0] -> [-844.295259, 14.813821,0] -> 
[55.704741, -785.186179,0] -> [-744.295259, 14.813821,0] -> 
[55.704741, -685.186179,0] -> [-644.295259, 14.813821,0] -> 
[55.704741, -585.186179,0] -> [-544.295259, 14.813821,0] -> 
[55.704741, -485.186179,0] -> [-444.295259, 14.813821,0] -> 
[55.704741, -385.186179,0] -> [-344.295259, 14.813821,0] -> 
 End 

0: 55.704741, -385.186179, 0 {135, 0} -> -344.295259, 14.813821, 0
42: -314.776785934880, -14.704652065120, 0.000000000000 {201.251098000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
43: -314.776785934880, -14.704652065120, 0.000000000000 {234.376647000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
44: -314.776785934880, -14.704652065120, 0.000000000000 {267.502196000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
45: -314.776785934880, -14.704652065120, 0.000000000000 {300.627745000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
46: -312.715569667721, -16.765868332278, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
47: -306.531920866245, -22.949517133755, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
48: -296.469791369960, -33.011646630039, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
49: -286.407661873676, -43.073776126324, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
50: -276.345532377391, -53.135905622609, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
51: -266.283402881107, -63.198035118893, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
52: -256.221273384822, -73.260164615178, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
53: -246.159143888537, -83.322294111462, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
54: -236.097014392253, -93.384423607747, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
55: -226.034884895968, -103.446553104032, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
56: -215.972755399684, -113.508682600316, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
57: -205.910625903399, -123.570812096601, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
58: -195.848496407115, -133.632941592885, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
59: -185.786366910830, -143.695071089170, 0.000000000000 {315.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
