Patroling Sections:
[402.114902514, -185.186179,0] -> [402.114902514, 214.813821,0] -> 
[488.717442892, -235.186179,0] -> [488.717442892, 264.813821,0] -> 
[575.319983271, -285.186179,0] -> [575.319983271, 314.813821,0] -> 
[661.922523649, -335.186179,0] -> [661.922523649, 364.813821,0] -> 
[748.525064028, -385.186179,0] -> [748.525064028, 414.813821,0] -> 
[835.127604406, -435.186179,0] -> [835.127604406, 464.813821,0] -> 
[921.730144784, -485.186179,0] -> [921.730144784, 514.813821,0] -> 
[921.730144784, 514.813821,0] -> [921.730144784, -485.186179,0] -> 
[835.127604406, 464.813821,0] -> [835.127604406, -435.186179,0] -> 
[748.525064028, 414.813821,0] -> [748.525064028, -385.186179,0] -> 
[661.922523649, 364.813821,0] -> [661.922523649, -335.186179,0] -> 
[575.319983271, 314.813821,0] -> [575.319983271, -285.186179,0] -> 
[488.717442892, 264.813821,0] -> [488.717442892, -235.186179,0] -> 
[402.114902514, 214.813821,0] -> [402.114902514, -185.186179,0] -> 
 End 

0: 402.114902514, 214.813821, 0 {270, 0} -> 402.114902514, -185.186179, 0
21: 402.114902513775, -124.216179000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
22: 402.114902513775, -141.446179000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
23: 402.114902513775, -141.446179000000, 0.000000000000 {232.874451000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
24: 402.114902513775, -141.446179000000, 0.000000000000 {270.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
25: 402.114902513775, -141.446179000000, 0.000000000000 {307.125549000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
26: 402.114902513775, -141.446179000000, 0.000000000000 {344.251098000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
27: 402.114902513775, -141.446179000000, 0.000000000000 {21.376647000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
28: 402.114902513775, -141.446179000000, 0.000000000000 {58.502196000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
29: 402.114902513775, -138.531179000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
30: 402.114902513775, -129.786179000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
31: 402.114902513775, -112.556179000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
32: 402.114902513775, -95.326179000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
33: 402.114902513775, -78.096179000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
34: 402.114902513775, -60.866179000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
35: 402.114902513775, -43.636179000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
36: 402.114902513775, -26.406179000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
37: 402.114902513775, -9.176179000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
38: 402.114902513775, 8.053821000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
39: 402.114902513775, 25.283821000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
40: 402.114902513775, 42.513821000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
41: 402.114902513775, 59.743821000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
42: 402.114902513775, 76.973821000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
43: 402.114902513775, 94.203821000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
44: 402.114902513775, 111.433821000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
45: 402.114902513775, 128.663821000000, 0.000000000000 {90.000000000000, 90.000000000000} -> 402.114902513775, 214.813821000000, 0.000000000000
