Patroling Sections:
[455.704741, 14.813821,0] -> [55.704741, 414.813821,0] -> 
[555.704741, 14.813821,0] -> [55.704741, 514.813821,0] -> 
[655.704741, 14.813821,0] -> [55.704741, 614.813821,0] -> 
[755.704741, 14.813821,0] -> [55.704741, 714.813821,0] -> 
[855.704741, 14.813821,0] -> [55.704741, 814.813821,0] -> 
[955.704741, 14.813821,0] -> [55.704741, 914.813821,0] -> 
[1055.704741, 14.813821,0] -> [55.704741, 1014.813821,0] -> 
[55.704741, 1014.813821,0] -> [1055.704741, 14.813821,0] -> 
[55.704741, 914.813821,0] -> [955.704741, 14.813821,0] -> 
[55.704741, 814.813821,0] -> [855.704741, 14.813821,0] -> 
[55.704741, 714.813821,0] -> [755.704741, 14.813821,0] -> 
[55.704741, 614.813821,0] -> [655.704741, 14.813821,0] -> 
[55.704741, 514.813821,0] -> [555.704741, 14.813821,0] -> 
[55.704741, 414.813821,0] -> [455.704741, 14.813821,0] -> 
 End 

0: 55.704741, 414.813821, 0 {315, 0} -> 455.704741, 14.813821, 0
13: 174.633030527765, 295.885531472235, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
14: 184.695160024050, 285.823401975950, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
15: 194.757289520335, 275.761272479665, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
16: 204.819419016619, 265.699142983381, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
17: 214.881548512904, 255.637013487096, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
18: 224.943678009188, 245.574883990812, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
19: 235.005807505473, 235.512754494527, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
20: 245.067937001757, 225.450624998243, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
21: 255.130066498042, 215.388495501958, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
22: 265.192195994327, 205.326366005673, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
23: 275.254325490611, 195.264236509389, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
24: 285.316454986896, 185.202107013104, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
25: 295.378584483180, 175.139977516820, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
26: 305.440713979465, 165.077848020535, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
27: 315.502843475749, 155.015718524251, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
28: 325.564972972034, 144.953589027966, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
29: 335.627102468319, 134.891459531682, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
30: 345.689231964603, 124.829330035397, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
31: 355.751361460888, 114.767200539112, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
32: 365.813490957172, 104.705071042828, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
33: 375.875620453457, 94.642941546543, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
34: 385.937749949741, 84.580812050259, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
35: 395.999879446026, 74.518682553974, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
36: 406.062008942311, 64.456553057690, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
37: 416.124138438595, 54.394423561405, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
